,brand,city_state,frequency,zip_list
216,RDU,"Shelton, CT",1,['06484']
217,RDU,"State College, PA",1,"[16801, 16803]"
218,RDU,"Wake Forest, NC",2,[27587]
219,San_Diego,"Dana Point, CA",1,[92629]
220,San_Diego,"Folsom, CA",1,[95630]
221,San_Diego,"Oak Creek, WI",1,[53154]
222,San_Diego,"Palm Springs, CA",2,"[92262, 92264]"
223,San_Diego,"San Clemente, CA",1,"[92672, 92673]"
224,San_Diego,"San Francisco, CA",1,"[94102, 94103, 94104, 94105, 94107, 94108, 94109, 94110, 94111, 94112, 94114, 94115, 94116, 94117, 94118, 94121, 94122, 94123, 94124, 94128, 94127, 94129, 94130, 94131, 94132, 94133, 94134, 94158]"
225,San_Diego,"Walpole, MA",1,['02081']
